district_number,district_name,course_number,course_name,W_F,W_M,B_F,B_M,HL_F,HL_M,A_F,A_M,NH_F,NH_M,AI_F,AI_M,MR_F,MR_M,Total_F,Total_M,Total_enrolled,Total_NW,frac_girls,frac_nonwhite
56,ST. LUCIE,2001320,ERTH/SPA SCI HON,18,10,,,,,,,,,,,,,36,33,69,41,0.52173913,0.594202899
56,ST. LUCIE,2001340,ENV SCI,241,358,337,405,277,346,,,,,,,30,34,894,1155,2049,1450,0.436310395,0.707662274
56,ST. LUCIE,2001341,ENV SCI HON,123,118,88,75,105,80,,,,,,,11,,330,291,621,380,0.531400966,0.611916264
56,ST. LUCIE,2001380,AP ENV SCI,23,23,11,,11,,,,,,,,,,48,33,81,35,0.592592593,0.432098765
56,ST. LUCIE,2001381,AICE ENV MGMNT AS,17,,18,,16,,,,,,,,,,56,28,84,,0.666666667,
56,ST. LUCIE,2001830,IB SPORTS EXER SCI 2,,,,,,,,,,,,,,,8,10,18,,0.444444444,
56,ST. LUCIE,2002040,M/J COMPRE SCI 1,269,312,338,417,308,354,,13,,,,,44,36,971,1135,2106,1525,0.461063628,0.724121557
56,ST. LUCIE,2002050,M/J COMPRE SCI 1 ADV,163,163,75,71,135,118,19,10,,,,,14,15,408,379,787,461,0.518424396,0.585768742
56,ST. LUCIE,2002056,M/J SCI 1 CAMB SEC 1,,,,,,,,,,,,,,,17,5,22,,0.772727273,
56,ST. LUCIE,2002060,M/J IB MYP COMP SCI1,28,27,25,29,,14,,,,,,,,,60,71,131,76,0.458015267,0.580152672
56,ST. LUCIE,2002070,M/J COMPRE SCI 2,266,335,290,398,292,354,10,,,,,,35,40,899,1140,2039,1438,0.440902403,0.70524767
56,ST. LUCIE,2002080,M/J COMPRE SCI 2 ADV,144,169,73,59,124,119,12,14,,,,,25,,380,367,747,434,0.508701473,0.580990629
56,ST. LUCIE,2002086,M/J SCI 2 CAMB SEC 1,,,,,,,,,,,,,,,17,7,24,,0.708333333,
